Make,Model,yearVeh,occRole,dvcat,dead,injSeverity,ADAS/ADS Version,Reporting Entity,Operating Entity,City,State,Roadway Type,Lighting,Crash With,Property Damage?,caseid,weight,frontal,airbag,seatbelt,sex,ageOFocc,abcat,deploy,,,,,
Toyota,Corolla,2021,driver,55+,dead,3,ADAS L2,Toyota Motor Engineering & Manufacturing,Waymo LLC,Goldsboro,NC ,Highway / Freeway,Dark - Not Lighted,Unknown,Yes,81:99:1,18.895,0,airbag,belted,m,25,deploy,1,,,,,
Tesla,Model S,2022,driver,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Pleasant Grove,CA ,Highway / Freeway,Daylight,Unknown,Yes,76:12:02,266.532,1,none,none,f,28,unavail,0,,,,,
Tesla,Model Y,2022,driver,55+,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Philadelphia,PA ,Highway / Freeway,Dark - Lighted,Passenger Car,Yes,78:53:02,51.81,1,airbag,belted,f,36,deploy,1,,,,,
Tesla,Model Y,2020,pass,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Eden,WI ,Rural Road,Dark - Not Lighted,Passenger Car,Yes,11:47:01,1567.626,0,airbag,belted,f,24,nodeploy,0,,,,,
Tesla,Model 3,2019,pass,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Durham,NC ,Highway / Freeway,Daylight,"Other, see Narrative",Yes,0.560439815,31.342,1,none,none,f,46,unavail,0,,,,,
Tesla,Model 3,2020,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","Kodiak Robotics, Inc.",Dade City,FL ,Street,Unknown,Unknown,Yes,74:41:02,11.454,1,none,belted,m,45,unavail,0,,,,,
Subaru,Forester,2020,driver,Oct-24,alive,2,,"Subaru of America, Inc.",Waymo LLC,Mamaroneck,NY ,Highway / Freeway,Daylight,Other Fixed Object,Yes,0.160428241,196.683,0,airbag,belted,f,22,nodeploy,0,,,,,
Subaru,Outback,2020,driver,40-54,alive,3,,"Subaru of America, Inc.",Waymo LLC,,WV ,Unknown,Daylight,Pole / Tree,Yes,82:13:02,3.245,1,none,belted,f,18,unavail,0,,,,,
Tesla,Model 3,2020,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Cobb County,GA ,Unknown,Unknown,Unknown,Yes,0.640983796,232.832,0,none,belted,f,38,unavail,0,,,,,
Volvo,C40,2022,pass,25-39,alive,1,Pilot Assist,"Volvo Car USA, LLC",Waymo LLC,Beckett,MA ,Rural Road,Unknown,Pickup Truck,Yes,72:02:01,10.725,1,airbag,belted,m,47,deploy,1,,,,,
